图像ID,原始文件名,原始宽度,原始高度,处理后宽度,处理后高度,缩放比例X,缩放比例Y,中心偏移X,中心偏移Y,处理时间,图像哈希值
544cb624,IMGA0003.JPG,2279,2384,512,512,0.21476510067114093,0.21476510067114093,11,0,2025-06-09 21:55:12,f511f9c368b0fff361d5c51c6bfb2d30
6a242fe2,IMGA00031.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:13,4b841fcaed6af1b87dba31cb03dbe066
abcfaf9f,IMGA0004.JPG,2812,2414,512,512,0.18207681365576103,0.18207681365576103,0,36,2025-06-09 21:55:13,bb02fcf3387e330dae34665abedc08b4
c504130a,IMGA00215.JPG,2396,2198,512,512,0.21368948247078465,0.21368948247078465,0,21,2025-06-09 21:55:13,c50827b724332b85a53c4c2276db6b5b
e0eda28c,IMGA0025.JPG,2922,2707,512,512,0.17522245037645448,0.17522245037645448,0,19,2025-06-09 21:55:13,16d9b2d385f2f2ac6b66ef834f8d47ac
857d97b9,IMGA00251.JPG,2531,2570,512,512,0.1992217898832685,0.1992217898832685,4,0,2025-06-09 21:55:13,909a2ad70b5474ef2eb0f866931a6afa
a7d8bd7a,IMGA0027.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:14,1e6ac6669f54eff492ae87954e7daf32
d0de0bf2,IMGA0028.JPG,2810,2389,512,512,0.1822064056939502,0.1822064056939502,0,38,2025-06-09 21:55:14,2bb00ccbb9d3a3b519dfdcd4b4b99a9f
33b69fad,IMGA00281.JPG,2251,1915,512,512,0.22745446468236338,0.22745446468236338,0,38,2025-06-09 21:55:14,137e16190debaa57a9c85779c90d7b7b
f48f3f13,IMGA003.JPG,2889,2647,512,512,0.17722395292488752,0.17722395292488752,0,21,2025-06-09 21:55:14,f8717f971057707e25222150736cb938
54eb29d3,IMGA0034.JPG,3477,2323,512,512,0.14725337935001437,0.14725337935001437,0,85,2025-06-09 21:55:14,a1d1b44b8c7f625706be845c25cda297
1265139c,IMGA0035.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:15,3b6f9fee3d518bda554d672b6fcb5d08
52c0f121,IMGA00357.JPG,2924,2647,512,512,0.17510259917920656,0.17510259917920656,0,24,2025-06-09 21:55:15,05ac86390b2f7e803ab32a99cdd576eb
44887975,IMGA0036.JPG,2337,2150,512,512,0.21908429610611896,0.21908429610611896,0,20,2025-06-09 21:55:15,6e5728875a89e0bde9ea80ae8ae4603f
cd8fc08e,IMGA0038.JPG,2897,2456,512,512,0.17673455298584742,0.17673455298584742,0,39,2025-06-09 21:55:15,446aa68e7fcf60591992f3164563df71
b7bc5d1b,IMGA0039.JPG,2949,2684,512,512,0.17361817565276366,0.17361817565276366,0,23,2025-06-09 21:55:15,04450462aecdb1badd757cc28181909d
4c902fe8,IMGA0043.JPG,2695,2434,512,512,0.18998144712430426,0.18998144712430426,0,25,2025-06-09 21:55:15,229738d41488d627c93e29d1f6708ce2
3fa1d19d,IMGA0046.JPG,2855,2376,512,512,0.17933450087565675,0.17933450087565675,0,43,2025-06-09 21:55:16,64345cf1b626579e981cf4d8fda3b93c
16e7e154,IMGA0049.JPG,2153,2138,512,512,0.23780771017185323,0.23780771017185323,0,2,2025-06-09 21:55:16,93c7ac5214711146df3ca10c61462acc
3277efda,IMGA0050.JPG,2197,1999,512,512,0.23304506144742831,0.23304506144742831,0,23,2025-06-09 21:55:16,5e4f44254eb3a2dd3b13c2e0d3070157
71eea58a,IMGA0053.JPG,2747,2366,512,512,0.18638514743356388,0.18638514743356388,0,36,2025-06-09 21:55:16,f8eeccd0a4f9b06eb2a5d19efa8e7df2
342b5764,IMGA0063.JPG,2844,2535,512,512,0.180028129395218,0.180028129395218,0,28,2025-06-09 21:55:16,60d6dafcaf65e1c12967dc84f5481651
7a39f6c4,IMGA0072.JPG,2955,2656,512,512,0.17326565143824027,0.17326565143824027,0,26,2025-06-09 21:55:17,bf344a737353d81dd379b6385df4a389
88bca9ef,IMGA00721.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:17,ba58f87bf3873c6005d3eb316e65c9f4
7b07eef9,IMGA0074.JPG,2641,2604,512,512,0.193865959863688,0.193865959863688,0,4,2025-06-09 21:55:17,015c68c63b387ac5356e26fb4a9d3b1d
63049d8f,IMGA0077.JPG,2757,2507,512,512,0.18570910409865796,0.18570910409865796,0,23,2025-06-09 21:55:17,34cfea1490d11def04d08f2416d391d3
350f05cc,IMGA0082.JPG,2146,2046,512,512,0.2385834109972041,0.2385834109972041,0,12,2025-06-09 21:55:17,e9d0ce5905a7a47d73df6200280db05d
5babd280,IMGA0084.JPG,2137,2150,512,512,0.23813953488372094,0.23813953488372094,2,0,2025-06-09 21:55:17,63f54524a4da9efbbceb0b7ace2adad1
9b0449f7,IMGA00841.JPG,2573,2493,512,512,0.19898950641274776,0.19898950641274776,0,8,2025-06-09 21:55:18,7e08bc349f9a8ba28b5663be11facea9
c9efd25b,IMGA0085.JPG,2472,2320,512,512,0.20711974110032363,0.20711974110032363,0,16,2025-06-09 21:55:18,ac45a7dbc7fc4b079b8f311357e71620
c8c376d5,IMGA0088.JPG,2486,2159,512,512,0.20595333869670152,0.20595333869670152,0,34,2025-06-09 21:55:18,18cfe5deae73270cb35f809b83d4834b
6e54877d,IMGA0089.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:18,eca2d6c76de53fff6aed894186cee408
a62da3d7,IMGA0092.JPG,2765,2485,512,512,0.18517179023508137,0.18517179023508137,0,26,2025-06-09 21:55:18,8a6f6c71ddf98b048058eeb22af7edc5
2a4c445f,IMGA0093.JPG,2734,2003,512,512,0.1872713972201902,0.1872713972201902,0,68,2025-06-09 21:55:19,f9e9bd88df1d4badf381a4f9669ea68a
ed9d529e,IMGA0094.JPG,3116,2599,512,512,0.1643132220795892,0.1643132220795892,0,42,2025-06-09 21:55:19,4a39abe12c0c8352dd7e85744754ab14
a16c07c8,IMGA0095.JPG,2478,2191,512,512,0.2066182405165456,0.2066182405165456,0,30,2025-06-09 21:55:19,68c992020778681a34df2f5273648516
3502cba4,IMGA0096.JPG,2845,2447,512,512,0.17996485061511425,0.17996485061511425,0,36,2025-06-09 21:55:19,dd3fea694ff443eece3326e2d6efc45d
960a96b4,IMGA0105.JPG,2944,2559,512,512,0.17391304347826086,0.17391304347826086,0,33,2025-06-09 21:55:19,4e2fbfcd83214ce9b05c6fcf4666a964
34146e50,IMGA01051.JPG,3208,2412,512,512,0.1596009975062344,0.1596009975062344,0,64,2025-06-09 21:55:20,3e44bfc702b7f3204263b7c8a4f1c221
afc04016,IMGA0121.JPG,2324,2274,512,512,0.22030981067125646,0.22030981067125646,0,6,2025-06-09 21:55:20,2394414aa59ccd5bf8724eb4dcd647ec
2f3b5700,IMGA0125.JPG,3226,2697,512,512,0.1587104773713577,0.1587104773713577,0,42,2025-06-09 21:55:20,bde11adc5f443586b0fd990c5e3f2cba
5b96565d,IMGA0126.JPG,2693,2504,512,512,0.19012253991830672,0.19012253991830672,0,18,2025-06-09 21:55:20,827e340c4ad05ea580b21662b31c2a10
e8b70801,IMGA0129.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:20,4aa41125d167bc6f74aac40346a5e0ec
60183925,IMGA0140.JPG,2533,2373,512,512,0.20213185945519146,0.20213185945519146,0,16,2025-06-09 21:55:21,b79ade6c5ec0f8be6ab837612b8d7096
0cffadeb,IMGA0145.JPG,2658,2077,512,512,0.1926260346124906,0.1926260346124906,0,56,2025-06-09 21:55:21,1f182720279ae9a186f43975d505bbb2
7903ea57,IMGA0148.JPG,3283,2662,512,512,0.1559549192811453,0.1559549192811453,0,48,2025-06-09 21:55:21,616c31a8fb3ce9db945086960253d58f
c95fa8fa,IMGA0159.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:21,3fd9432392e9ed9beb69402f91aa12e8
db2ca497,IMGA0160.JPG,2684,2468,512,512,0.19076005961251863,0.19076005961251863,0,21,2025-06-09 21:55:21,a34f5360d4b11ba76a3d51405b678427
936de707,IMGA0164.JPG,2221,1680,512,512,0.2305267897343539,0.2305267897343539,0,62,2025-06-09 21:55:22,e8eb1a128824e9a1460cec86550988c5
ffa166e9,IMGA0172.JPG,2324,2500,512,512,0.2048,0.2048,18,0,2025-06-09 21:55:22,6d75d004a9e48e8c9c19dff9addd6e50
035bd334,IMGA0173.JPG,2461,2497,512,512,0.20504605526631958,0.20504605526631958,4,0,2025-06-09 21:55:22,c962562aa2ac633c40951d2a02383b95
41a1d9a2,IMGA0186.JPG,2542,2130,512,512,0.2014162077104642,0.2014162077104642,0,41,2025-06-09 21:55:22,d54daca9907fae6e780f1cca78b011df
a4150407,IMGA0187.JPG,2853,2570,512,512,0.17946021731510692,0.17946021731510692,0,25,2025-06-09 21:55:22,21a34f0f63a6b169fa23549261e195ec
39b0d2b6,IMGA01876.JPG,2567,2173,512,512,0.19945461628359953,0.19945461628359953,0,39,2025-06-09 21:55:22,db785200201f4dd33dc5cc010650fc39
51676a98,IMGA0188.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:23,e43e7ada713cb7534a9a2f2bd3f91bda
10b48bc8,IMGA0190.JPG,2875,2434,512,512,0.17808695652173914,0.17808695652173914,0,39,2025-06-09 21:55:23,083ac64b07f73aa7413874782d3d7e6a
94b7805b,IMGA0193.JPG,2563,2544,512,512,0.1997658993367148,0.1997658993367148,0,2,2025-06-09 21:55:23,d1afd52bba33b753e2f5c9c3ee76b3d1
22dad716,IMGA0200.JPG,2824,2339,512,512,0.1813031161473088,0.1813031161473088,0,44,2025-06-09 21:55:23,5f640409e0bfef2231863c9f6b78fee0
441d7ec1,IMGA0201.JPG,3130,2320,512,512,0.1635782747603834,0.1635782747603834,0,66,2025-06-09 21:55:23,809467d5cf55d310175f7fc7bcbabd8c
a6d32e0d,IMGA0205.JPG,2718,2474,512,512,0.188373804267844,0.188373804267844,0,23,2025-06-09 21:55:23,b5d90886d1da3d9f17c16bec31ac751e
4858dc3f,IMGA02051.JPG,2439,2474,512,512,0.20695230396119643,0.20695230396119643,4,0,2025-06-09 21:55:24,f88f72f4731ce4bf09bb81544465a09e
7ee77a1f,IMGA0214.JPG,2580,2378,512,512,0.19844961240310077,0.19844961240310077,0,20,2025-06-09 21:55:24,6bc63ac2b58372647392e8cbeb072898
6903b4d4,IMGA0244.JPG,2527,2447,512,512,0.20261179263949347,0.20261179263949347,0,8,2025-06-09 21:55:24,83dfbf0dacdb17419a3c582f9b031eeb
f5054322,IMGA0250.JPG,2305,2510,512,512,0.20398406374501993,0.20398406374501993,21,0,2025-06-09 21:55:24,b84594aaef8002445117664dfb7a972a
415ddeff,IMGA0254.JPG,2719,2143,512,512,0.1883045237219566,0.1883045237219566,0,54,2025-06-09 21:55:24,6a90b7ae66cd310624b11a735d2b9ab7
ef554f98,IMGA02547.JPG,2911,2649,512,512,0.17588457574716593,0.17588457574716593,0,23,2025-06-09 21:55:24,df943e95ff92cdb699ab8acfd5e099e1
a1e3493f,IMGA0266.JPG,2877,2752,512,512,0.17796315606534585,0.17796315606534585,0,11,2025-06-09 21:55:25,d942e4ec0e278964ef0ca09e4f5774d4
1ae0a321,IMGA0271.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:25,791920f847499f31edad10bfdd5ecb3f
fe5e3ea5,IMGA0277.JPG,2214,2667,512,512,0.19197600299962506,0.19197600299962506,43,0,2025-06-09 21:55:25,4d0341a317cc9c864b10e244c1d65675
e4d7c092,IMGA0292.JPG,3094,2707,512,512,0.16548157724628312,0.16548157724628312,0,32,2025-06-09 21:55:25,71168772620588a5c6a4b556d7467885
4d56c0c0,IMGA0303.JPG,2793,2606,512,512,0.1833154314357322,0.1833154314357322,0,17,2025-06-09 21:55:26,2673f3c924cd08cebef4e085bd30555b
4db2ddeb,IMGA0308.JPG,2146,2272,512,512,0.22535211267605634,0.22535211267605634,14,0,2025-06-09 21:55:26,92e980db1ba340f3de31d4e8f2494275
35ed5577,IMGA0325.JPG,2570,2686,512,512,0.1906180193596426,0.1906180193596426,11,0,2025-06-09 21:55:26,24a45bdd252265dcbdce726948a55dce
9f3ac52c,IMGA0334.JPG,2739,2260,512,512,0.1869295363271267,0.1869295363271267,0,45,2025-06-09 21:55:26,38f8d6a287aae6f77aa15675f6a6a321
ef4b82b5,IMGA0342.JPG,2663,2657,512,512,0.19226436349981224,0.19226436349981224,0,1,2025-06-09 21:55:26,a9587a0f898face5329576994d074077
ccf8949d,IMGA0349.JPG,2218,1964,512,512,0.2308385933273219,0.2308385933273219,0,29,2025-06-09 21:55:26,568d6b3c12f5b795b1b9c8e5c4572e6f
c119d37b,IMGA0350.JPG,2242,2091,512,512,0.22836752899197146,0.22836752899197146,0,17,2025-06-09 21:55:27,6f532dbc7ee31a7a0d3f02f6777c2142
7eccbb9c,IMGA03501.JPG,2242,2428,512,512,0.21087314662273476,0.21087314662273476,20,0,2025-06-09 21:55:27,03332d48521cc8f0ac0478a981fb56f1
73a1cbde,IMGA0355.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:27,8308d5192b9047c38813931cad255c86
e31e6141,IMGA03551.JPG,2706,2304,512,512,0.18920916481892092,0.18920916481892092,0,38,2025-06-09 21:55:27,457d5a3b938742892227c470ac308f12
af95ad79,IMGA0362.JPG,2426,2541,512,512,0.20149547422274694,0.20149547422274694,12,0,2025-06-09 21:55:27,90e27c03c42312b9d80fb24a7d393ff3
15d6ac73,IMGA0365.JPG,4352,3264,512,512,0.11764705882352941,0.11764705882352941,0,64,2025-06-09 21:55:28,71037e537162764efd81aaf5a0b73e9f
4722eff9,IMGA0381.JPG,3210,2759,512,512,0.15950155763239876,0.15950155763239876,0,36,2025-06-09 21:55:28,b4f7382a9677e5947cbb414e2a2d7c2b
86f2d7bd,IMGA0387.JPG,2721,2456,512,512,0.18816611539875047,0.18816611539875047,0,25,2025-06-09 21:55:28,695d9d2c4f44be0f03ce7a1dadbf71cc
0b0df02f,IMGA0388.JPG,2424,2212,512,512,0.21122112211221122,0.21122112211221122,0,22,2025-06-09 21:55:28,257f98302d8bfa3d728bf7968fd6a6f5
8c84fa46,IMGA0418.JPG,2438,2224,512,512,0.2100082034454471,0.2100082034454471,0,22,2025-06-09 21:55:28,c0755e23b25da17d09180604cdeb44ec
9c5378b1,IMGA0419.JPG,3185,3208,512,512,0.1596009975062344,0.1596009975062344,2,0,2025-06-09 21:55:29,bf25249f9d23b81026115077b3acd239
98107adf,IMGA0476.JPG,3622,3197,512,512,0.1413583655438984,0.1413583655438984,0,30,2025-06-09 21:55:29,ce7c614e9ee6382be712295c457d982e
34838dad,IMGA0558.JPG,2973,2841,512,512,0.1722166162125799,0.1722166162125799,0,11,2025-06-09 21:55:29,9a167a2c6a1de95353a6d43b7ea1e5ef
03456246,IMGA0591.JPG,3327,3072,512,512,0.15389239555154793,0.15389239555154793,0,20,2025-06-09 21:55:30,9d3883b9ec7a66799936ff3c5b7e443d
24c8c434,IMGA0617.JPG,3341,3115,512,512,0.1532475306794373,0.1532475306794373,0,17,2025-06-09 21:55:30,3347e319d83ef3122824fd151a6214ee
1f3c923b,IMGA0741.JPG,2772,2490,512,512,0.1847041847041847,0.1847041847041847,0,26,2025-06-09 21:55:30,fc984651ff927e80266c97cd33f21c63
630ecd9c,IMGA0742.JPG,2932,2380,512,512,0.17462482946793997,0.17462482946793997,0,48,2025-06-09 21:55:30,26ec305b44223b55c03804862d58eb57
a92b9890,IMGA07835.JPG,2717,2206,512,512,0.18844313581155686,0.18844313581155686,0,48,2025-06-09 21:55:30,5a4dc776678f62f177f56039746438ef
f5cc0fa5,IMGA0785.JPG,2309,2710,512,512,0.18892988929889298,0.18892988929889298,38,0,2025-06-09 21:55:30,a13ab40b77021bbd857fda99bcd02cc4
de341dbd,IMGA0835.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:31,ebc35a424c1612832511db5d286bce52
3af8825d,IMGA0882.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:31,f66f6fc1c0cbca15dde9a6663c287288
db3c2eb2,IMGA0929-001.JPG,2493,1354,512,512,0.2053750501403931,0.2053750501403931,0,117,2025-06-09 21:55:31,7a0db81e73aedcd5cca89d961bc6462e
931e2a8f,IMGA0929.JPG,3744,2808,512,512,0.13675213675213677,0.13675213675213677,0,64,2025-06-09 21:55:31,833194273cb2aeff024cdad64aacdb77
fc8afa20,IMGA0952.JPG,2998,2770,512,512,0.17078052034689792,0.17078052034689792,0,19,2025-06-09 21:55:31,4f111569fe6215f94c233034f91fc226
26aa78d2,IMG_1545-001.JPG,1420,704,512,512,0.36056338028169016,0.36056338028169016,0,129,2025-06-09 21:55:31,609bd1b39600280177e4547e0a76d33f
ab7428fb,NOKIA Lumia 710_000774-001.jpg,1625,1098,512,512,0.3150769230769231,0.3150769230769231,0,83,2025-06-09 21:55:32,8fdd92c4a0e15e1166ea40c71804a4dc
699743a0,NOKIA Lumia 710_000774.jpg,1944,2592,512,512,0.19753086419753085,0.19753086419753085,64,0,2025-06-09 21:55:32,241d94e2626c39cb5d66e18cc34c3170
59c76b3b,NOKIA Lumia 710_000960.jpg,2258,1925,512,512,0.2267493356953056,0.2267493356953056,0,38,2025-06-09 21:55:32,48bac0d9ac2e0f6e82e45abda19b08a3
4284e832,NOKIA Lumia 710_001263.jpg,2592,1944,512,512,0.19753086419753085,0.19753086419753085,0,64,2025-06-09 21:55:32,6112ac51a8419e33fbe2b9805b86cd82
0cee99f4,P1010009-001.JPG,1326,768,512,512,0.3861236802413273,0.3861236802413273,0,108,2025-06-09 21:55:32,bb2faa67e8b60b7b6447ba67b50a6c32
cbc6966c,P1010186-001.JPG,1205,778,512,512,0.42489626556016596,0.42489626556016596,0,91,2025-06-09 21:55:32,18bddb92a4a265637de69ea75d023098
e6e9ed4c,worms eye jpg.jpg,497,285,512,512,1.0301810865191148,1.0301810865191148,0,109,2025-06-09 21:55:32,b4e675185447e85851f24ea20e8d22d8
